Id,Dzien tygodnia,Godzina,Natężenie
MQ_K8_1,Friday,1,0.015384615384615385
MQ_K8_1,Friday,2,0.0038461538461538464
MQ_K8_1,Friday,3,0.0038461538461538464
MQ_K8_1,Friday,4,0.0
MQ_K8_1,Friday,5,0.019230769230769232
MQ_K8_1,Friday,6,0.08846153846153847
MQ_K8_1,Friday,7,0.2153846153846154
MQ_K8_1,Friday,8,0.4076923076923077
MQ_K8_1,Friday,9,0.6076923076923076
MQ_K8_1,Friday,10,0.65
MQ_K8_1,Friday,11,0.7576923076923077
MQ_K8_1,Friday,12,0.7038461538461539
MQ_K8_1,Friday,13,0.7307692307692307
MQ_K8_1,Friday,14,0.6461538461538462
MQ_K8_1,Friday,15,0.5192307692307693
MQ_K8_1,Friday,16,0.9538461538461539
MQ_K8_1,Friday,17,0.9730769230769231
MQ_K8_1,Friday,18,1.0
MQ_K8_1,Friday,19,0.8423076923076923
MQ_K8_1,Friday,20,0.7538461538461538
MQ_K8_1,Friday,21,0.6730769230769231
MQ_K8_1,Friday,22,0.3153846153846154
MQ_K8_1,Friday,23,0.1346153846153846
MQ_K8_1,Saturday,0,0.0796812749003984
MQ_K8_1,Saturday,1,0.0398406374501992
MQ_K8_1,Saturday,2,0.0199203187250996
MQ_K8_1,Saturday,3,0.027888446215139442
MQ_K8_1,Saturday,4,0.01593625498007968
MQ_K8_1,Saturday,5,0.027888446215139442
MQ_K8_1,Saturday,6,0.0
MQ_K8_1,Saturday,7,0.06374501992031872
MQ_K8_1,Saturday,8,0.2151394422310757
MQ_K8_1,Saturday,9,0.46613545816733065
MQ_K8_1,Saturday,10,0.5936254980079682
MQ_K8_1,Saturday,11,0.9203187250996016
MQ_K8_1,Saturday,12,0.9322709163346613
MQ_K8_1,Saturday,13,0.8884462151394422
MQ_K8_1,Saturday,14,0.9442231075697212
MQ_K8_1,Saturday,15,0.8247011952191236
MQ_K8_1,Saturday,16,0.7848605577689243
MQ_K8_1,Saturday,17,0.8844621513944223
MQ_K8_1,Saturday,18,0.8884462151394422
MQ_K8_1,Saturday,19,1.0
MQ_K8_1,Saturday,20,0.701195219123506
MQ_K8_1,Saturday,21,0.601593625498008
MQ_K8_1,Saturday,22,0.2589641434262948
MQ_K8_1,Saturday,23,0.0796812749003984
MQ_K8_1,Sunday,0,0.1347517730496454
MQ_K8_1,Sunday,1,0.18439716312056736
MQ_K8_1,Sunday,2,0.07801418439716312
MQ_K8_1,Sunday,3,0.04964539007092199
MQ_K8_1,Sunday,4,0.014184397163120567
MQ_K8_1,Sunday,5,0.014184397163120567
MQ_K8_1,Sunday,6,0.03546099290780142
MQ_K8_1,Sunday,7,0.0
MQ_K8_1,Sunday,8,0.03546099290780142
MQ_K8_1,Sunday,9,0.1702127659574468
MQ_K8_1,Sunday,10,0.19858156028368795
MQ_K8_1,Sunday,11,0.5957446808510638
MQ_K8_1,Sunday,12,0.7163120567375887
MQ_K8_1,Sunday,13,0.9716312056737588
MQ_K8_1,Sunday,14,0.8652482269503546
MQ_K8_1,Sunday,15,0.9219858156028369
MQ_K8_1,Sunday,16,1.0
MQ_K8_1,Sunday,17,0.9361702127659575
MQ_K8_1,Sunday,18,0.900709219858156
MQ_K8_1,Sunday,19,0.5673758865248227
MQ_K8_1,Sunday,20,0.3191489361702128
MQ_K8_1,Sunday,21,0.2978723404255319
MQ_K8_1,Sunday,22,0.22695035460992907
MQ_K8_1,Sunday,23,0.09929078014184398
MQ_K8_1,Monday,0,0.029801324503311258
MQ_K8_1,Monday,1,0.026490066225165563
MQ_K8_1,Monday,2,0.009933774834437087
MQ_K8_1,Monday,3,0.0
MQ_K8_1,Monday,4,0.0
MQ_K8_1,Monday,5,0.026490066225165563
MQ_K8_1,Monday,6,0.04966887417218543
MQ_K8_1,Monday,7,0.16887417218543047
MQ_K8_1,Monday,8,0.3973509933774834
MQ_K8_1,Monday,9,0.46357615894039733
MQ_K8_1,Monday,10,0.5993377483443708
