Id,Dzien tygodnia,Godzina,Natężenie
MQ_K30_1,Friday,1,0.050724637681159424
MQ_K30_1,Friday,2,0.0
MQ_K30_1,Friday,3,0.010144927536231883
MQ_K30_1,Friday,4,0.008695652173913044
MQ_K30_1,Friday,5,0.08695652173913043
MQ_K30_1,Friday,6,0.33405797101449275
MQ_K30_1,Friday,7,0.9028985507246376
MQ_K30_1,Friday,8,1.0
MQ_K30_1,Friday,9,0.9826086956521739
MQ_K30_1,Friday,10,0.9159420289855073
MQ_K30_1,Friday,11,0.9934782608695653
MQ_K30_1,Friday,12,0.9260869565217391
MQ_K30_1,Friday,13,0.8891304347826087
MQ_K30_1,Friday,14,0.8681159420289855
MQ_K30_1,Friday,15,0.8355072463768116
MQ_K30_1,Friday,16,0.8195652173913044
MQ_K30_1,Friday,17,0.9333333333333333
MQ_K30_1,Friday,18,0.9652173913043478
MQ_K30_1,Friday,19,0.9152173913043479
MQ_K30_1,Friday,20,0.7594202898550725
MQ_K30_1,Friday,21,0.5072463768115942
MQ_K30_1,Friday,22,0.3391304347826087
MQ_K30_1,Friday,23,0.3630434782608696
MQ_K30_1,Saturday,0,0.17535153019023986
MQ_K30_1,Saturday,1,0.076095947063689
MQ_K30_1,Saturday,2,0.05293631100082713
MQ_K30_1,Saturday,3,0.022332506203473945
MQ_K30_1,Saturday,4,0.0
MQ_K30_1,Saturday,5,0.05128205128205128
MQ_K30_1,Saturday,6,0.18196856906534326
MQ_K30_1,Saturday,7,0.33664185277088504
MQ_K30_1,Saturday,8,0.6137303556658396
MQ_K30_1,Saturday,9,0.8031430934656741
MQ_K30_1,Saturday,10,0.9354838709677419
MQ_K30_1,Saturday,11,1.0
MQ_K30_1,Saturday,12,0.9561621174524401
MQ_K30_1,Saturday,13,0.9404466501240695
MQ_K30_1,Saturday,14,0.7956989247311828
MQ_K30_1,Saturday,15,0.8825475599669148
MQ_K30_1,Saturday,16,0.7799834574028123
MQ_K30_1,Saturday,17,0.8023159636062862
MQ_K30_1,Saturday,18,0.826302729528536
MQ_K30_1,Saturday,19,0.7518610421836228
MQ_K30_1,Saturday,20,0.652605459057072
MQ_K30_1,Saturday,21,0.4011579818031431
MQ_K30_1,Saturday,22,0.23159636062861869
MQ_K30_1,Saturday,23,0.2944582299421009
MQ_K30_1,Sunday,0,0.273
MQ_K30_1,Sunday,1,0.172
MQ_K30_1,Sunday,2,0.102
MQ_K30_1,Sunday,3,0.06
MQ_K30_1,Sunday,4,0.042
MQ_K30_1,Sunday,5,0.0
MQ_K30_1,Sunday,6,0.112
MQ_K30_1,Sunday,7,0.184
MQ_K30_1,Sunday,8,0.347
MQ_K30_1,Sunday,9,0.49
MQ_K30_1,Sunday,10,0.558
MQ_K30_1,Sunday,11,0.669
MQ_K30_1,Sunday,12,0.699
MQ_K30_1,Sunday,13,0.747
MQ_K30_1,Sunday,14,0.902
MQ_K30_1,Sunday,15,0.843
MQ_K30_1,Sunday,16,0.868
MQ_K30_1,Sunday,17,0.907
MQ_K30_1,Sunday,18,1.0
MQ_K30_1,Sunday,19,0.821
MQ_K30_1,Sunday,20,0.664
MQ_K30_1,Sunday,21,0.469
MQ_K30_1,Sunday,22,0.292
