Id,Dzien tygodnia,Godzina,Natężenie
MQ_K58_1,Friday,1,0.037933817594834544
MQ_K58_1,Friday,2,0.020984665052461663
MQ_K58_1,Friday,3,0.0
MQ_K58_1,Friday,4,0.00887812752219532
MQ_K58_1,Friday,5,0.05972558514931396
MQ_K58_1,Friday,6,0.23083131557707828
MQ_K58_1,Friday,7,0.814366424535916
MQ_K58_1,Friday,8,0.7732041969330105
MQ_K58_1,Friday,9,0.8232445520581114
MQ_K58_1,Friday,10,0.8942695722356739
MQ_K58_1,Friday,11,0.8175948345439871
MQ_K58_1,Friday,12,0.8127522195318806
MQ_K58_1,Friday,13,0.8280871670702179
MQ_K58_1,Friday,14,0.9887005649717514
MQ_K58_1,Friday,15,1.0
MQ_K58_1,Friday,16,0.966908797417272
MQ_K58_1,Friday,17,0.9806295399515739
MQ_K58_1,Friday,18,0.7949959644874899
MQ_K58_1,Friday,19,0.7699757869249395
MQ_K58_1,Friday,20,0.6836158192090396
MQ_K58_1,Friday,21,0.4180790960451977
MQ_K58_1,Friday,22,0.2679580306698951
MQ_K58_1,Friday,23,0.27602905569007263
MQ_K58_1,Saturday,0,0.115
MQ_K58_1,Saturday,1,0.075
MQ_K58_1,Saturday,2,0.039
MQ_K58_1,Saturday,3,0.012
MQ_K58_1,Saturday,4,0.0
MQ_K58_1,Saturday,5,0.03
MQ_K58_1,Saturday,6,0.115
MQ_K58_1,Saturday,7,0.365
MQ_K58_1,Saturday,8,0.779
MQ_K58_1,Saturday,9,0.946
MQ_K58_1,Saturday,10,0.911
MQ_K58_1,Saturday,11,1.0
MQ_K58_1,Saturday,12,0.898
MQ_K58_1,Saturday,13,0.949
MQ_K58_1,Saturday,14,0.872
MQ_K58_1,Saturday,15,0.858
MQ_K58_1,Saturday,16,0.901
MQ_K58_1,Saturday,17,0.884
MQ_K58_1,Saturday,18,0.839
MQ_K58_1,Saturday,19,0.776
MQ_K58_1,Saturday,20,0.575
MQ_K58_1,Saturday,21,0.421
MQ_K58_1,Saturday,22,0.275
MQ_K58_1,Saturday,23,0.206
MQ_K58_1,Sunday,0,0.16923076923076924
MQ_K58_1,Sunday,1,0.07802197802197802
MQ_K58_1,Sunday,2,0.06373626373626373
MQ_K58_1,Sunday,3,0.02197802197802198
MQ_K58_1,Sunday,4,0.03736263736263736
MQ_K58_1,Sunday,5,0.0
MQ_K58_1,Sunday,6,0.056043956043956046
