Id,Dzien tygodnia,Godzina,Natężenie
MQ_K27_1,Friday,1,0.006289308176100629
MQ_K27_1,Friday,2,0.0
MQ_K27_1,Friday,3,0.012578616352201259
MQ_K27_1,Friday,4,0.08176100628930817
MQ_K27_1,Friday,5,0.12578616352201258
MQ_K27_1,Friday,6,0.2578616352201258
MQ_K27_1,Friday,7,0.710691823899371
MQ_K27_1,Friday,8,0.8616352201257862
MQ_K27_1,Friday,9,0.7987421383647799
MQ_K27_1,Friday,10,0.9685534591194969
MQ_K27_1,Friday,11,0.8553459119496856
MQ_K27_1,Friday,12,0.8553459119496856
MQ_K27_1,Friday,13,0.8867924528301887
MQ_K27_1,Friday,14,0.8742138364779874
MQ_K27_1,Friday,15,0.9748427672955975
MQ_K27_1,Friday,16,1.0
MQ_K27_1,Friday,17,0.7547169811320755
MQ_K27_1,Friday,18,0.8176100628930818
MQ_K27_1,Friday,19,0.5283018867924528
MQ_K27_1,Friday,20,0.36477987421383645
MQ_K27_1,Friday,21,0.1949685534591195
MQ_K27_1,Friday,22,0.25157232704402516
MQ_K27_1,Friday,23,0.2138364779874214
MQ_K27_1,Saturday,0,0.02
MQ_K27_1,Saturday,1,0.06
MQ_K27_1,Saturday,2,0.03
MQ_K27_1,Saturday,3,0.03
MQ_K27_1,Saturday,4,0.09
MQ_K27_1,Saturday,5,0.0
MQ_K27_1,Saturday,6,0.08
MQ_K27_1,Saturday,7,0.38
MQ_K27_1,Saturday,8,0.56
MQ_K27_1,Saturday,9,0.77
MQ_K27_1,Saturday,10,1.0
MQ_K27_1,Saturday,11,0.9
MQ_K27_1,Saturday,12,0.83
MQ_K27_1,Saturday,13,0.64
MQ_K27_1,Saturday,14,0.72
MQ_K27_1,Saturday,15,0.6
MQ_K27_1,Saturday,16,0.46
MQ_K27_1,Saturday,17,0.47
MQ_K27_1,Saturday,18,0.35
MQ_K27_1,Saturday,19,0.38
MQ_K27_1,Saturday,20,0.18
MQ_K27_1,Saturday,21,0.13
MQ_K27_1,Saturday,22,0.09
MQ_K27_1,Saturday,23,0.02
MQ_K27_1,Sunday,0,0.2692307692307692
MQ_K27_1,Sunday,1,0.11538461538461539
MQ_K27_1,Sunday,2,0.11538461538461539
MQ_K27_1,Sunday,3,0.0
MQ_K27_1,Sunday,4,0.057692307692307696
MQ_K27_1,Sunday,5,0.038461538461538464
MQ_K27_1,Sunday,6,0.11538461538461539
MQ_K27_1,Sunday,7,0.15384615384615385
MQ_K27_1,Sunday,8,0.2692307692307692
MQ_K27_1,Sunday,9,0.34615384615384615
MQ_K27_1,Sunday,10,0.6923076923076923
MQ_K27_1,Sunday,11,0.5961538461538461
MQ_K27_1,Sunday,12,0.8269230769230769
MQ_K27_1,Sunday,13,1.0
MQ_K27_1,Sunday,14,0.6153846153846154
MQ_K27_1,Sunday,15,0.5576923076923077
MQ_K27_1,Sunday,16,0.8846153846153846
MQ_K27_1,Sunday,17,0.7115384615384616
MQ_K27_1,Sunday,18,0.75
MQ_K27_1,Sunday,19,0.5
MQ_K27_1,Sunday,20,0.4230769230769231
MQ_K27_1,Sunday,21,0.34615384615384615
MQ_K27_1,Sunday,22,0.28846153846153844
MQ_K27_1,Sunday,23,0.15384615384615385
MQ_K27_1,Monday,0,0.03870967741935484
MQ_K27_1,Monday,1,0.012903225806451613
MQ_K27_1,Monday,2,0.0064516129032258064
MQ_K27_1,Monday,3,0.0
MQ_K27_1,Monday,4,0.04516129032258064
MQ_K27_1,Monday,5,0.10967741935483871
MQ_K27_1,Monday,6,0.2838709677419355
MQ_K27_1,Monday,7,0.6258064516129033
MQ_K27_1,Monday,8,0.967741935483871
MQ_K27_1,Monday,9,0.8129032258064516
MQ_K27_1,Monday,10,0.9096774193548387
MQ_K27_1,Monday,11,0.8709677419354839
MQ_K27_1,Monday,12,0.8129032258064516
MQ_K27_1,Monday,13,0.8516129032258064
MQ_K27_1,Monday,14,0.8774193548387097
MQ_K27_1,Monday,15,0.9806451612903225
MQ_K27_1,Monday,16,1.0
MQ_K27_1,Monday,17,1.0
MQ_K27_1,Monday,18,0.5935483870967742
MQ_K27_1,Monday,19,0.5935483870967742
MQ_K27_1,Monday,20,0.33548387096774196
MQ_K27_1,Monday,21,0.1935483870967742
MQ_K27_1,Monday,22,0.14193548387096774
MQ_K27_1,Monday,23,0.15483870967741936
MQ_K27_1,Tuesday,0,0.04838709677419355
MQ_K27_1,Tuesday,1,0.005376344086021506
MQ_K27_1,Tuesday,2,0.026881720430107527
MQ_K27_1,Tuesday,3,0.0
MQ_K27_1,Tuesday,4,0.021505376344086023
MQ_K27_1,Tuesday,5,0.12365591397849462
MQ_K27_1,Tuesday,6,0.17204301075268819
MQ_K27_1,Tuesday,7,0.5752688172043011
MQ_K27_1,Tuesday,8,0.7741935483870968
MQ_K27_1,Tuesday,9,0.6881720430107527
MQ_K27_1,Tuesday,10,0.8602150537634409
MQ_K27_1,Tuesday,11,0.8602150537634409
MQ_K27_1,Tuesday,12,0.7849462365591398
MQ_K27_1,Tuesday,13,0.7526881720430108
MQ_K27_1,Tuesday,14,0.6881720430107527
MQ_K27_1,Tuesday,15,0.946236559139785
MQ_K27_1,Tuesday,16,1.0
MQ_K27_1,Tuesday,17,0.6774193548387096
MQ_K27_1,Tuesday,18,0.5860215053763441
MQ_K27_1,Tuesday,19,0.43548387096774194
MQ_K27_1,Tuesday,20,0.3763440860215054
MQ_K27_1,Tuesday,21,0.16129032258064516
MQ_K27_1,Tuesday,22,0.15591397849462366
MQ_K27_1,Tuesday,23,0.14516129032258066
MQ_K27_1,Wednesday,0,0.025157232704402517
MQ_K27_1,Wednesday,1,0.018867924528301886
MQ_K27_1,Wednesday,2,0.006289308176100629
MQ_K27_1,Wednesday,3,0.0
MQ_K27_1,Wednesday,4,0.006289308176100629
MQ_K27_1,Wednesday,5,0.11949685534591195
MQ_K27_1,Wednesday,6,0.22012578616352202
MQ_K27_1,Wednesday,7,0.5723270440251572
MQ_K27_1,Wednesday,8,0.8742138364779874
MQ_K27_1,Wednesday,9,0.7924528301886793
MQ_K27_1,Wednesday,10,0.9119496855345912
MQ_K27_1,Wednesday,11,0.8805031446540881
MQ_K27_1,Wednesday,12,0.7861635220125787
MQ_K27_1,Wednesday,13,0.9119496855345912
MQ_K27_1,Wednesday,14,0.8113207547169812
MQ_K27_1,Wednesday,15,1.0
MQ_K27_1,Wednesday,16,0.8805031446540881
MQ_K27_1,Wednesday,17,0.7421383647798742
MQ_K27_1,Wednesday,18,0.5849056603773585
MQ_K27_1,Wednesday,19,0.48427672955974843
MQ_K27_1,Wednesday,20,0.44025157232704404
MQ_K27_1,Wednesday,21,0.15723270440251572
MQ_K27_1,Wednesday,22,0.13836477987421383
MQ_K27_1,Wednesday,23,0.16981132075471697
MQ_K27_1,Thursday,0,0.2558139534883721
MQ_K27_1,Thursday,1,0.09302325581395349
MQ_K27_1,Thursday,2,0.11627906976744186
MQ_K27_1,Thursday,3,0.11627906976744186
MQ_K27_1,Thursday,4,0.023255813953488372
MQ_K27_1,Thursday,5,0.0
MQ_K27_1,Thursday,6,0.18604651162790697
MQ_K27_1,Thursday,7,0.4418604651162791
MQ_K27_1,Thursday,8,0.3953488372093023
MQ_K27_1,Thursday,9,0.4418604651162791
MQ_K27_1,Thursday,10,0.8372093023255814
MQ_K27_1,Thursday,11,0.9069767441860465
MQ_K27_1,Thursday,12,0.7674418604651163
MQ_K27_1,Thursday,13,1.0
MQ_K27_1,Thursday,14,0.6744186046511628
MQ_K27_1,Thursday,15,0.8372093023255814
MQ_K27_1,Thursday,16,0.7906976744186046
MQ_K27_1,Thursday,17,0.7209302325581395
MQ_K27_1,Thursday,18,0.6046511627906976
MQ_K27_1,Thursday,19,0.627906976744186
MQ_K27_1,Thursday,20,0.32558139534883723
MQ_K27_1,Thursday,21,0.37209302325581395
MQ_K27_1,Thursday,22,0.37209302325581395
MQ_K27_1,Thursday,23,0.32558139534883723
MQ_K27_1,Friday,0,
