Id,Dzien tygodnia,Godzina,Natężenie
MQ_K1_1,Tuesday,20,0.39552238805970147
MQ_K1_1,Tuesday,21,0.22761194029850745
MQ_K1_1,Tuesday,22,0.16791044776119404
MQ_K1_1,Tuesday,23,0.08582089552238806
MQ_K1_1,Wednesday,0,0.02127659574468085
MQ_K1_1,Wednesday,1,0.0035460992907801418
MQ_K1_1,Wednesday,2,0.0
MQ_K1_1,Wednesday,3,0.0035460992907801418
MQ_K1_1,Wednesday,4,0.0
MQ_K1_1,Wednesday,5,0.01773049645390071
MQ_K1_1,Wednesday,6,0.04964539007092199
MQ_K1_1,Wednesday,7,0.25177304964539005
MQ_K1_1,Wednesday,8,0.648936170212766
MQ_K1_1,Wednesday,9,0.7943262411347518
MQ_K1_1,Wednesday,10,0.4645390070921986
MQ_K1_1,Wednesday,11,0.6063829787234043
MQ_K1_1,Wednesday,12,0.5921985815602837
MQ_K1_1,Wednesday,13,0.5780141843971631
MQ_K1_1,Wednesday,14,0.8014184397163121
MQ_K1_1,Wednesday,15,0.9822695035460993
MQ_K1_1,Wednesday,16,1.0
MQ_K1_1,Wednesday,17,0.9822695035460993
MQ_K1_1,Wednesday,18,0.8368794326241135
MQ_K1_1,Wednesday,19,0.7092198581560284
MQ_K1_1,Wednesday,20,0.6099290780141844
MQ_K1_1,Wednesday,21,0.4432624113475177
MQ_K1_1,Wednesday,22,0.20212765957446807
MQ_K1_1,Wednesday,23,0.06382978723404255
MQ_K1_1,Thursday,0,0.041237113402061855
MQ_K1_1,Thursday,1,0.02577319587628866
MQ_K1_1,Thursday,2,0.005154639175257732
MQ_K1_1,Thursday,3,0.010309278350515464
MQ_K1_1,Thursday,4,0.010309278350515464
MQ_K1_1,Thursday,5,0.0
MQ_K1_1,Thursday,6,0.015463917525773196
MQ_K1_1,Thursday,7,0.04639175257731959
MQ_K1_1,Thursday,8,0.09278350515463918
MQ_K1_1,Thursday,9,0.1958762886597938
MQ_K1_1,Thursday,10,0.31958762886597936
MQ_K1_1,Thursday,11,0.5515463917525774
MQ_K1_1,Thursday,12,0.6288659793814433
MQ_K1_1,Thursday,13,0.8505154639175257
MQ_K1_1,Thursday,14,1.0
MQ_K1_1,Thursday,15,0.9690721649484536
MQ_K1_1,Thursday,16,0.8298969072164949
MQ_K1_1,Thursday,17,0.788659793814433
MQ_K1_1,Thursday,18,0.4639175257731959
MQ_K1_1,Thursday,19,0.2268041237113402
MQ_K1_1,Thursday,20,0.2268041237113402
MQ_K1_1,Thursday,21,0.15463917525773196
MQ_K1_1,Thursday,22,0.06701030927835051
MQ_K1_1,Thursday,23,0.04639175257731959
MQ_K1_1,Friday,0,
