Id,Dzien tygodnia,Godzina,Natężenie
MQ_K14_1,Friday,1,0.03860711582134747
MQ_K14_1,Friday,2,0.0
MQ_K14_1,Friday,3,0.00984102952308857
MQ_K14_1,Friday,4,0.006056018168054504
MQ_K14_1,Friday,5,0.06888720666161999
MQ_K14_1,Friday,6,0.25889477668433003
MQ_K14_1,Friday,7,0.7335352006056018
MQ_K14_1,Friday,8,0.8425435276305829
MQ_K14_1,Friday,9,0.7176381529144588
MQ_K14_1,Friday,10,0.7236941710825132
MQ_K14_1,Friday,11,0.7070401211203634
MQ_K14_1,Friday,12,0.7638152914458743
MQ_K14_1,Friday,13,0.7766843300529902
MQ_K14_1,Friday,14,0.8304314912944739
MQ_K14_1,Friday,15,1.0
MQ_K14_1,Friday,16,0.8720666161998486
MQ_K14_1,Friday,17,0.9303557910673732
MQ_K14_1,Friday,18,0.8902346707040121
MQ_K14_1,Friday,19,0.8501135503406511
MQ_K14_1,Friday,20,0.761544284632854
MQ_K14_1,Friday,21,0.5594246782740349
MQ_K14_1,Friday,22,0.3618470855412566
MQ_K14_1,Friday,23,0.3005299015897048
MQ_K14_1,Saturday,0,0.14774774774774774
MQ_K14_1,Saturday,1,0.07927927927927927
MQ_K14_1,Saturday,2,0.04054054054054054
MQ_K14_1,Saturday,3,0.03063063063063063
MQ_K14_1,Saturday,4,0.0
MQ_K14_1,Saturday,5,0.014414414414414415
MQ_K14_1,Saturday,6,0.11801801801801802
MQ_K14_1,Saturday,7,0.2990990990990991
MQ_K14_1,Saturday,8,0.45675675675675675
MQ_K14_1,Saturday,9,0.6594594594594595
MQ_K14_1,Saturday,10,0.818018018018018
MQ_K14_1,Saturday,11,0.8594594594594595
MQ_K14_1,Saturday,12,0.918018018018018
MQ_K14_1,Saturday,13,1.0
MQ_K14_1,Saturday,14,0.9036036036036036
MQ_K14_1,Saturday,15,0.9486486486486486
MQ_K14_1,Saturday,16,0.890990990990991
MQ_K14_1,Saturday,17,0.8837837837837837
MQ_K14_1,Saturday,18,0.8
MQ_K14_1,Saturday,19,0.7450450450450451
MQ_K14_1,Saturday,20,0.6873873873873874
MQ_K14_1,Saturday,21,0.46126126126126127
MQ_K14_1,Saturday,22,0.3261261261261261
MQ_K14_1,Saturday,23,0.22792792792792793
MQ_K14_1,Sunday,0,0.26700251889168763
MQ_K14_1,Sunday,1,0.20654911838790932
MQ_K14_1,Sunday,2,0.13350125944584382
MQ_K14_1,Sunday,3,0.08816120906801007
MQ_K14_1,Sunday,4,0.03904282115869018
MQ_K14_1,Sunday,5,0.0
MQ_K14_1,Sunday,6,0.04534005037783375
MQ_K14_1,Sunday,7,0.11083123425692695
MQ_K14_1,Sunday,8,0.22418136020151133
MQ_K14_1,Sunday,9,0.37279596977329976
MQ_K14_1,Sunday,10,0.4269521410579345
MQ_K14_1,Sunday,11,0.681360201511335
MQ_K14_1,Sunday,12,0.8211586901763224
MQ_K14_1,Sunday,13,0.9332493702770781
MQ_K14_1,Sunday,14,0.982367758186398
MQ_K14_1,Sunday,15,0.9193954659949622
MQ_K14_1,Sunday,16,0.9445843828715366
MQ_K14_1,Sunday,17,0.9886649874055415
MQ_K14_1,Sunday,18,1.0
MQ_K14_1,Sunday,19,0.8954659949622166
MQ_K14_1,Sunday,20,0.6801007556675063
MQ_K14_1,Sunday,21,0.593198992443325
MQ_K14_1,Sunday,22,0.4156171284634761
MQ_K14_1,Sunday,23,0.24937027707808565
