Id,Dzien tygodnia,Godzina,Natężenie
MQ_K53_1,Friday,1,0.02072538860103627
MQ_K53_1,Friday,2,0.010362694300518135
MQ_K53_1,Friday,3,0.0012953367875647669
MQ_K53_1,Friday,4,0.0
MQ_K53_1,Friday,5,0.0051813471502590676
MQ_K53_1,Friday,6,0.05699481865284974
MQ_K53_1,Friday,7,0.25647668393782386
MQ_K53_1,Friday,8,0.47668393782383417
MQ_K53_1,Friday,9,0.5686528497409327
MQ_K53_1,Friday,10,0.522020725388601
MQ_K53_1,Friday,11,0.5803108808290155
MQ_K53_1,Friday,12,0.6968911917098446
MQ_K53_1,Friday,13,0.7577720207253886
MQ_K53_1,Friday,14,0.7435233160621761
MQ_K53_1,Friday,15,0.9935233160621761
MQ_K53_1,Friday,16,1.0
MQ_K53_1,Friday,17,0.9106217616580311
MQ_K53_1,Friday,18,0.8303108808290155
MQ_K53_1,Friday,19,0.7953367875647669
MQ_K53_1,Friday,20,0.6826424870466321
MQ_K53_1,Friday,21,0.5751295336787565
MQ_K53_1,Friday,22,0.3860103626943005
MQ_K53_1,Friday,23,0.28756476683937826
MQ_K53_1,Saturday,0,0.1841680129240711
MQ_K53_1,Saturday,1,0.05815831987075929
MQ_K53_1,Saturday,2,0.04361873990306947
MQ_K53_1,Saturday,3,0.024232633279483037
MQ_K53_1,Saturday,4,0.0
MQ_K53_1,Saturday,5,0.01615508885298869
MQ_K53_1,Saturday,6,0.04361873990306947
MQ_K53_1,Saturday,7,0.1680129240710824
MQ_K53_1,Saturday,8,0.35379644588045234
MQ_K53_1,Saturday,9,0.4668820678513732
MQ_K53_1,Saturday,10,0.6639741518578353
MQ_K53_1,Saturday,11,0.7867528271405493
MQ_K53_1,Saturday,12,0.9579967689822294
MQ_K53_1,Saturday,13,1.0
MQ_K53_1,Saturday,14,0.9676898222940227
MQ_K53_1,Saturday,15,0.8626817447495961
MQ_K53_1,Saturday,16,0.7996768982229402
MQ_K53_1,Saturday,17,0.6962843295638126
MQ_K53_1,Saturday,18,0.6413570274636511
MQ_K53_1,Saturday,19,0.7237479806138933
MQ_K53_1,Saturday,20,0.6138933764135702
MQ_K53_1,Saturday,21,0.46365105008077545
MQ_K53_1,Saturday,22,0.3602584814216478
MQ_K53_1,Saturday,23,0.20032310177705978
MQ_K53_1,Sunday,0,0.16759776536312848
MQ_K53_1,Sunday,1,0.1303538175046555
MQ_K53_1,Sunday,2,0.0521415270018622
MQ_K53_1,Sunday,3,0.0633147113594041
MQ_K53_1,Sunday,4,0.0186219739292365
MQ_K53_1,Sunday,5,0.0
MQ_K53_1,Sunday,6,0.03165735567970205
MQ_K53_1,Sunday,7,0.05027932960893855
MQ_K53_1,Sunday,8,0.18435754189944134
MQ_K53_1,Sunday,9,0.2942271880819367
MQ_K53_1,Sunday,10,0.3054003724394786
MQ_K53_1,Sunday,11,0.6350093109869647
MQ_K53_1,Sunday,12,0.7467411545623837
MQ_K53_1,Sunday,13,0.8528864059590316
MQ_K53_1,Sunday,14,1.0
MQ_K53_1,Sunday,15,0.7467411545623837
MQ_K53_1,Sunday,16,0.8026070763500931
MQ_K53_1,Sunday,17,0.7225325884543762
MQ_K53_1,Sunday,18,0.88268156424581
MQ_K53_1,Sunday,19,0.7113594040968343
MQ_K53_1,Sunday,20,0.5716945996275605
MQ_K53_1,Sunday,21,0.4301675977653631
MQ_K53_1,Sunday,22,0.23277467411545624
MQ_K53_1,Sunday,23,0.12476722532588454
MQ_K53_1,Monday,0,0.07076101468624833
MQ_K53_1,Monday,1,0.012016021361815754
MQ_K53_1,Monday,2,0.00801068090787717
MQ_K53_1,Monday,3,0.0
MQ_K53_1,Monday,4,0.0
MQ_K53_1,Monday,5,0.0053404539385847796
MQ_K53_1,Monday,6,0.07209612817089453
MQ_K53_1,Monday,7,0.2803738317757009
MQ_K53_1,Monday,8,0.4779706275033378
MQ_K53_1,Monday,9,0.5727636849132176
MQ_K53_1,Monday,10,0.5634178905206942
MQ_K53_1,Monday,11,0.6128170894526035
MQ_K53_1,Monday,12,0.684913217623498
MQ_K53_1,Monday,13,0.6809078771695594
MQ_K53_1,Monday,14,0.7263017356475301
MQ_K53_1,Monday,15,0.9252336448598131
MQ_K53_1,Monday,16,1.0
MQ_K53_1,Monday,17,0.9185580774365821
MQ_K53_1,Monday,18,0.897196261682243
MQ_K53_1,Monday,19,0.7997329773030708
MQ_K53_1,Monday,20,0.6461949265687583
MQ_K53_1,Monday,21,0.4672897196261682
MQ_K53_1,Monday,22,0.28304405874499333
MQ_K53_1,Monday,23,0.19225634178905207
MQ_K53_1,Tuesday,0,0.08785529715762273
MQ_K53_1,Tuesday,1,0.021963824289405683
MQ_K53_1,Tuesday,2,0.006459948320413436
MQ_K53_1,Tuesday,3,0.0
MQ_K53_1,Tuesday,4,0.0012919896640826874
MQ_K53_1,Tuesday,5,0.015503875968992248
MQ_K53_1,Tuesday,6,0.06847545219638243
MQ_K53_1,Tuesday,7,0.26098191214470284
MQ_K53_1,Tuesday,8,0.4935400516795866
MQ_K53_1,Tuesday,9,0.5129198966408268
MQ_K53_1,Tuesday,10,0.4909560723514212
MQ_K53_1,Tuesday,11,0.5258397932816538
MQ_K53_1,Tuesday,12,0.5633074935400517
MQ_K53_1,Tuesday,13,0.6692506459948321
MQ_K53_1,Tuesday,14,0.7118863049095607
MQ_K53_1,Tuesday,15,1.0
MQ_K53_1,Tuesday,16,0.9224806201550387
MQ_K53_1,Tuesday,17,0.9405684754521964
MQ_K53_1,Tuesday,18,0.8591731266149871
MQ_K53_1,Tuesday,19,0.8410852713178295
MQ_K53_1,Tuesday,20,0.7131782945736435
MQ_K53_1,Tuesday,21,0.5219638242894057
MQ_K53_1,Tuesday,22,0.3359173126614987
MQ_K53_1,Tuesday,23,0.20930232558139536
MQ_K53_1,Wednesday,0,0.10673443456162643
MQ_K53_1,Wednesday,1,0.017789072426937738
MQ_K53_1,Wednesday,2,0.007623888182973317
MQ_K53_1,Wednesday,3,0.0063532401524777635
MQ_K53_1,Wednesday,4,0.0
MQ_K53_1,Wednesday,5,0.01397712833545108
MQ_K53_1,Wednesday,6,0.06607369758576874
MQ_K53_1,Wednesday,7,0.2630241423125794
MQ_K53_1,Wednesday,8,0.4891994917407878
MQ_K53_1,Wednesday,9,0.579415501905972
MQ_K53_1,Wednesday,10,0.4815756035578145
MQ_K53_1,Wednesday,11,0.5387547649301143
MQ_K53_1,Wednesday,12,0.6264294790343075
MQ_K53_1,Wednesday,13,0.6886912325285895
MQ_K53_1,Wednesday,14,0.6886912325285895
MQ_K53_1,Wednesday,15,0.8958068614993647
MQ_K53_1,Wednesday,16,1.0
MQ_K53_1,Wednesday,17,0.940279542566709
MQ_K53_1,Wednesday,18,0.8564167725540025
MQ_K53_1,Wednesday,19,0.8538754764930114
MQ_K53_1,Wednesday,20,0.7166454891994918
MQ_K53_1,Wednesday,21,0.6454891994917408
MQ_K53_1,Wednesday,22,0.4536213468869123
MQ_K53_1,Wednesday,23,0.2617534942820839
MQ_K53_1,Thursday,0,0.3425287356321839
MQ_K53_1,Thursday,1,0.12643678160919541
MQ_K53_1,Thursday,2,0.10344827586206896
MQ_K53_1,Thursday,3,0.06436781609195402
MQ_K53_1,Thursday,4,0.034482758620689655
MQ_K53_1,Thursday,5,0.0
MQ_K53_1,Thursday,6,0.03218390804597701
MQ_K53_1,Thursday,7,0.14942528735632185
MQ_K53_1,Thursday,8,0.31494252873563217
MQ_K53_1,Thursday,9,0.4114942528735632
MQ_K53_1,Thursday,10,0.4528735632183908
MQ_K53_1,Thursday,11,0.8689655172413793
MQ_K53_1,Thursday,12,0.7701149425287356
MQ_K53_1,Thursday,13,0.9839080459770115
MQ_K53_1,Thursday,14,0.9632183908045977
MQ_K53_1,Thursday,15,0.9126436781609195
MQ_K53_1,Thursday,16,1.0
MQ_K53_1,Thursday,17,0.7563218390804598
MQ_K53_1,Thursday,18,0.7471264367816092
MQ_K53_1,Thursday,19,0.7517241379310344
MQ_K53_1,Thursday,20,0.6482758620689655
MQ_K53_1,Thursday,21,0.4528735632183908
MQ_K53_1,Thursday,22,0.35172413793103446
MQ_K53_1,Thursday,23,0.19540229885057472
MQ_K53_1,Friday,0,
