Id,Dzien tygodnia,Godzina,Natężenie
MQ_K40_1,Friday,1,
MQ_K40_1,Friday,2,
MQ_K40_1,Friday,3,
MQ_K40_1,Friday,4,
MQ_K40_1,Friday,5,
MQ_K40_1,Friday,6,
MQ_K40_1,Friday,7,
MQ_K40_1,Friday,8,
MQ_K40_1,Friday,9,
MQ_K40_1,Friday,10,
MQ_K40_1,Friday,11,
MQ_K40_1,Friday,12,
MQ_K40_1,Friday,13,
MQ_K40_1,Friday,14,
MQ_K40_1,Friday,15,
MQ_K40_1,Friday,16,
MQ_K40_1,Friday,17,
MQ_K40_1,Friday,18,
MQ_K40_1,Friday,19,
MQ_K40_1,Friday,20,
MQ_K40_1,Friday,21,
MQ_K40_1,Friday,22,
MQ_K40_1,Friday,23,
MQ_K40_1,Saturday,0,
MQ_K40_1,Saturday,1,
MQ_K40_1,Saturday,2,
MQ_K40_1,Saturday,3,
MQ_K40_1,Saturday,4,
MQ_K40_1,Saturday,5,
MQ_K40_1,Saturday,6,
MQ_K40_1,Saturday,7,
MQ_K40_1,Saturday,8,
MQ_K40_1,Saturday,9,
MQ_K40_1,Saturday,10,
MQ_K40_1,Saturday,11,
MQ_K40_1,Saturday,12,
MQ_K40_1,Saturday,13,
MQ_K40_1,Saturday,14,
MQ_K40_1,Saturday,15,
MQ_K40_1,Saturday,16,
MQ_K40_1,Saturday,17,
MQ_K40_1,Saturday,18,
MQ_K40_1,Saturday,19,
MQ_K40_1,Saturday,20,
MQ_K40_1,Saturday,21,
MQ_K40_1,Saturday,22,
MQ_K40_1,Saturday,23,
MQ_K40_1,Sunday,0,
MQ_K40_1,Sunday,1,
MQ_K40_1,Sunday,2,
MQ_K40_1,Sunday,3,
MQ_K40_1,Sunday,4,
MQ_K40_1,Sunday,5,
MQ_K40_1,Sunday,6,
MQ_K40_1,Sunday,7,
MQ_K40_1,Sunday,8,
MQ_K40_1,Sunday,9,
MQ_K40_1,Sunday,10,
MQ_K40_1,Sunday,11,
MQ_K40_1,Sunday,12,
MQ_K40_1,Sunday,13,
MQ_K40_1,Sunday,14,
MQ_K40_1,Sunday,15,
MQ_K40_1,Sunday,16,
MQ_K40_1,Sunday,17,
MQ_K40_1,Sunday,18,
MQ_K40_1,Sunday,19,
MQ_K40_1,Sunday,20,
MQ_K40_1,Sunday,21,
MQ_K40_1,Sunday,22,
MQ_K40_1,Sunday,23,
MQ_K40_1,Monday,0,
MQ_K40_1,Monday,1,
MQ_K40_1,Monday,2,
MQ_K40_1,Monday,3,
MQ_K40_1,Monday,4,
MQ_K40_1,Monday,5,
MQ_K40_1,Monday,6,
MQ_K40_1,Monday,7,
MQ_K40_1,Monday,8,
MQ_K40_1,Monday,9,
MQ_K40_1,Monday,10,
MQ_K40_1,Monday,11,
MQ_K40_1,Monday,12,
MQ_K40_1,Monday,13,
MQ_K40_1,Monday,14,
MQ_K40_1,Monday,15,
MQ_K40_1,Monday,16,
MQ_K40_1,Monday,17,
MQ_K40_1,Monday,18,
MQ_K40_1,Monday,19,
MQ_K40_1,Monday,20,
MQ_K40_1,Monday,21,
MQ_K40_1,Monday,22,
MQ_K40_1,Monday,23,
MQ_K40_1,Tuesday,0,
MQ_K40_1,Tuesday,1,
MQ_K40_1,Tuesday,2,
MQ_K40_1,Tuesday,3,
MQ_K40_1,Tuesday,4,
MQ_K40_1,Tuesday,5,
MQ_K40_1,Tuesday,6,
MQ_K40_1,Tuesday,7,
MQ_K40_1,Tuesday,8,
MQ_K40_1,Tuesday,9,
MQ_K40_1,Tuesday,10,
MQ_K40_1,Tuesday,11,
MQ_K40_1,Tuesday,12,
MQ_K40_1,Tuesday,13,
MQ_K40_1,Tuesday,14,
MQ_K40_1,Tuesday,15,
MQ_K40_1,Tuesday,16,
MQ_K40_1,Tuesday,17,
MQ_K40_1,Tuesday,18,
MQ_K40_1,Tuesday,19,
MQ_K40_1,Tuesday,20,
MQ_K40_1,Tuesday,21,
MQ_K40_1,Tuesday,22,
MQ_K40_1,Tuesday,23,
